Model,MDO3104
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.02,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,1e+06,,
Gating,70.96500% to 75.0600%,,
Probe Attenuation,10,10,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,5,5,5
Vertical Position,1.18,0,-1.06
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
4.202180e-02,5.1,4.8,4.7
4.202200e-02,5.3,5,4.5
4.202220e-02,5.1,5,4.5
4.202240e-02,5.1,5,4.7
4.202260e-02,5.3,5,4.5
4.202280e-02,5.5,4.8,4.5
4.202300e-02,5.3,5,4.7
4.202320e-02,5.1,5,4.5
4.202340e-02,5.1,5,4.5
4.202360e-02,5.1,4.8,4.5
4.202380e-02,5.1,4.8,4.5
4.202400e-02,5.1,5,4.7
4.202420e-02,5.5,4.8,4.9
4.202440e-02,5.3,5,4.9
4.202460e-02,5.1,5,4.7
4.202480e-02,4.9,5,4.5
4.202500e-02,5.1,5,4.9
4.202520e-02,5.3,4.8,4.9
4.202540e-02,5.1,4.8,4.7
4.202560e-02,5.1,5,4.7
4.202580e-02,5.3,4.8,4.7
4.202600e-02,5.1,5,4.5
4.202620e-02,5.1,4.8,4.5
4.202640e-02,5.1,5,4.7
4.202660e-02,5.3,5,4.9
4.202680e-02,5.1,5,5.1
4.202700e-02,5.1,4.8,4.7
4.202720e-02,5.1,5,5.1
4.202740e-02,5.3,5.2,4.9
4.202760e-02,5.3,5.2,4.7
4.202780e-02,5.3,4.8,4.9
4.202800e-02,4.9,5,4.7
4.202820e-02,5.3,5,4.9
4.202840e-02,5.3,5,5.1
4.202860e-02,5.1,5,5.1
4.202880e-02,5.1,4.8,5.1
4.202900e-02,5.1,5,5.1
4.202920e-02,5.3,5,4.9
4.202940e-02,5.3,5,4.9
4.202960e-02,5.1,4.8,4.7
4.202980e-02,5.1,5,5.1
4.203000e-02,5.3,4.8,4.9
4.203020e-02,4.9,5.2,5.1
4.203040e-02,5.3,4.8,5.1
4.203060e-02,5.3,4.8,5.1
4.203080e-02,4.9,5,5.1
4.203100e-02,5.3,5,4.9
4.203120e-02,5.1,5,4.9
4.203140e-02,5.1,4.8,4.9
4.203160e-02,4.9,5,4.7
4.203180e-02,5.1,4.8,4.9
4.203200e-02,5.3,4.8,4.9
4.203220e-02,5.1,4.8,5.1
4.203240e-02,5.1,4.8,5.1
4.203260e-02,5.1,5,5.1
4.203280e-02,5.3,5,5.1
4.203300e-02,5.1,5,4.9
4.203320e-02,5.3,5,4.9
4.203340e-02,5.1,5,4.7
4.203360e-02,5.1,4.8,5.1
4.203380e-02,5.3,5,5.1
4.203400e-02,5.3,5,4.7
4.203420e-02,4.9,5,4.9
4.203440e-02,5.1,4.8,5.1
4.203460e-02,4.9,4.8,5.1
4.203480e-02,4.9,4.8,5.1
4.203500e-02,4.9,5.2,5.1
4.203520e-02,5.1,5,4.9
4.203540e-02,5.1,4.8,5.1
4.203560e-02,5.3,5,4.7
4.203580e-02,5.1,4.8,4.7
4.203600e-02,4.9,5,4.7
4.203620e-02,4.9,5,4.9
4.203640e-02,5.1,5,5.1
4.203660e-02,5.3,5,4.9
4.203680e-02,5.3,4.8,4.7
4.203700e-02,5.3,4.8,5.1
4.203720e-02,5.3,5,5.1
4.203740e-02,4.9,5,5.1
4.203760e-02,5.3,5.2,4.9
4.203780e-02,5.1,5,4.7
4.203800e-02,5.1,5.2,5.1
4.203820e-02,5.1,5.2,4.9
4.203840e-02,5.1,5,4.9
4.203860e-02,5.1,5.2,4.9
4.203880e-02,5.1,5,5.1
4.203900e-02,4.9,5,4.9
4.203920e-02,5.1,4.8,5.1
4.203940e-02,5.1,5,4.5
4.203960e-02,5.5,5,5.1
4.203980e-02,5.3,5,5.1
4.204000e-02,5.5,5,5.1
4.204020e-02,5.3,5.4,4.9
4.204040e-02,5.3,5,4.9
4.204060e-02,5.1,4.8,5.1
4.204080e-02,5.1,4.8,5.1
4.204100e-02,5.3,4.8,5.1
4.204120e-02,4.9,5,4.7
4.204140e-02,5.1,5.2,5.1
4.204160e-02,4.9,4.8,5.1
4.204180e-02,5.1,4.8,4.9
4.204200e-02,5.3,5.2,4.9
4.204220e-02,5.3,5,5.1
4.204240e-02,5.3,5,5.1
4.204260e-02,4.9,4.8,4.9
4.204280e-02,5.3,5,5.1
4.204300e-02,4.9,5,4.9
4.204320e-02,5.3,4.8,4.9
4.204340e-02,4.7,4.8,4.9
4.204360e-02,5.3,4.8,5.1
4.204380e-02,5.1,5,4.9
4.204400e-02,5.1,5,4.9
4.204420e-02,5.3,5,4.9
4.204440e-02,5.1,5.2,4.9
4.204460e-02,5.3,5,4.9
4.204480e-02,5.1,5,5.1
4.204500e-02,5.1,4.8,5.1
4.204520e-02,5.1,5,5.1
4.204540e-02,5.1,5,4.9
4.204560e-02,5.1,4.8,5.1
4.204580e-02,5.3,5,4.7
4.204600e-02,5.3,5,5.1
4.204620e-02,4.9,4.8,4.9
4.204640e-02,5.1,4.6,4.9
4.204660e-02,5.1,4.8,5.1
4.204680e-02,5.3,5,5.1
4.204700e-02,5.3,5.2,5.1
4.204720e-02,5.1,5,4.7
4.204740e-02,5.1,5,4.9
4.204760e-02,5.1,5,5.1
4.204780e-02,4.9,5,4.9
4.204800e-02,4.9,5,4.9
4.204820e-02,5.1,5,4.9
4.204840e-02,4.9,5,5.1
4.204860e-02,5.3,4.8,4.9
4.204880e-02,5.1,5,5.1
4.204900e-02,5.3,5,5.1
4.204920e-02,5.1,5.2,4.9
4.204940e-02,5.1,5,5.1
4.204960e-02,5.3,5,4.9
4.204980e-02,5.5,4.8,5.1
4.205000e-02,5.3,5,5.1
4.205020e-02,5.1,4.8,4.9
4.205040e-02,5.3,4.8,5.1
4.205060e-02,5.3,4.8,4.9
4.205080e-02,5.1,5,4.9
4.205100e-02,5.1,5.2,4.7
4.205120e-02,5.3,5.2,4.9
4.205140e-02,5.1,5.2,5.1
4.205160e-02,5.1,5,4.9
4.205180e-02,5.1,5,4.7
4.205200e-02,5.3,4.8,5.1
4.205220e-02,4.9,5,4.7
4.205240e-02,4.9,5.2,5.1
4.205260e-02,5.3,5,4.9
4.205280e-02,5.3,4.8,5.1
4.205300e-02,5.3,5,5.1
4.205320e-02,5.3,5,4.7
4.205340e-02,5.1,5,4.9
4.205360e-02,5.3,5,4.9
4.205380e-02,5.3,5,4.7
4.205400e-02,5.1,4.8,5.1
4.205420e-02,4.9,5.2,4.9
4.205440e-02,4.9,5,4.7
4.205460e-02,5.1,5,5.1
4.205480e-02,5.1,5,4.9
4.205500e-02,5.1,5,4.9
4.205520e-02,5.1,5.2,4.9
4.205540e-02,5.1,5,5.1
4.205560e-02,5.1,5,4.9
4.205580e-02,5.1,4.8,5.1
4.205600e-02,5.1,5.2,4.9
4.205620e-02,5.3,5,5.1
4.205640e-02,5.1,5,4.7
4.205660e-02,5.3,4.8,5.1
4.205680e-02,5.3,5.4,5.1
4.205700e-02,5.1,5,4.9
4.205720e-02,5.1,5,5.1
4.205740e-02,5.1,5,4.9
